text,author,book_title,tags,likes,link
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,,attributed-no-source|best|life|love|misattributed-marilyn-monroe|mistakes|out-of-control|truth|worst,165396,https://www.goodreads.com/quotes/8630-i-m-selfish-impatient-and-a-little-insecure-i-make-mistakes
"You've gotta dance like there's nobody watching,
Love like you'll never be hurt,
Sing like there's nobody listening,
And live like it's heaven on earth.",William W. Purkey,,dance|heaven|hurt|inspirational|life|love|sing,129081,https://www.goodreads.com/quotes/10123-you-ve-gotta-dance-like-there-s-nobody-watching-love-like-you-ll
You know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,,attributed-no-source|dreams|love|reality|sleep,127394,https://www.goodreads.com/quotes/7901-you-know-you-re-in-love-when-you-can-t-fall-asleep
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,Martin Luther King Jr.,A Testament of Hope: The Essential Writings and Speeches,darkness|drive-out|hate|inspirational|light|love|peace,78487,https://www.goodreads.com/quotes/943-darkness-cannot-drive-out-darkness-only-light-can-do-that
We accept the love we think we deserve.,Stephen Chbosky,The Perks of Being a Wallflower,inspirational|love,76719,https://www.goodreads.com/quotes/2534-we-accept-the-love-we-think-we-deserve
It is better to be hated for what you are than to be loved for what you are not.,Andre Gide,Autumn Leaves,life|love,62355,https://www.goodreads.com/quotes/14304-it-is-better-to-be-hated-for-what-you-are
"Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.",Bob Marley,,love,57935,https://www.goodreads.com/quotes/151476-only-once-in-your-life-i-truly-believe-you-find
"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",John Green,The Fault in Our Stars,love,47057,https://www.goodreads.com/quotes/485442-as-he-read-i-fell-in-love-the-way-you
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,,friendship|lack-of-friendship|lack-of-love|love|marriage|unhappy-marriage,42484,https://www.goodreads.com/quotes/778-it-is-not-a-lack-of-love-but-a-lack
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,,activism|apathy|hate|indifference|inspirational|love|opposite|philosophy,42093,https://www.goodreads.com/quotes/677-the-opposite-of-love-is-not-hate-it-s-indifference-the
